This model is a 3D, clear morning spectrum post-processed with the Kempton group's RT code.
It includes H2O, CO2, CIA, and scattering opacity, pulling profiles from a Maria Z. chemical eq. GCM on alt levels.
Wavelength Depth
0.541095 2.082675
0.5412754000000001 2.079871
0.5414558 2.079033
0.5416363 2.077239
0.5418169 2.084492
0.5419975 2.079003
0.5421781 2.087044
0.5423589 2.0772
0.5425396 2.082234
0.5427205 2.07758
0.5429014 2.083157
0.5430824000000001 2.076806
0.5432634 2.078344
0.5434445 2.079718
0.5436255999999999 2.078918
0.5438068 2.082945
0.5439881000000001 2.078426
0.5441694 2.07738
0.5443507999999999 2.076342
0.5445323 2.095472
0.5447138 2.080669
0.5448954 2.081187
0.5450769999999999 2.084734
0.5452587 2.077238
0.5454404 2.076913
0.5456222 2.08315
0.5458041 2.077293
0.5459861 2.076489
0.5461680999999999 2.083188
0.5463501000000001 2.077671
0.5465322 2.078115
0.5467144 2.077237
0.5468966 2.083788
0.5470789 2.077418
0.5472613000000001 2.075565
0.5474437 2.078298
0.5476262000000001 2.075478
0.5478086999999999 2.075714
0.5479913 2.075571
0.548174 2.076312
0.5483566999999999 2.076
0.5485395000000001 2.075502
0.5487223999999999 2.076848
0.5489053 2.080179
0.5490882 2.074869
0.5492713 2.078135
0.5494544 2.077604
0.5496375 2.074804
0.5498207 2.07869
0.550004 2.074267
0.5501873 2.084303
0.5503707 2.077728
0.5505542 2.078357
0.5507377 2.075035
0.5509213 2.073679
0.5511049 2.08384
0.5512885999999999 2.076865
0.5514724 2.074493
0.5516561999999999 2.074999
0.5518401000000001 2.073872
0.552024 2.074894
0.5522081000000001 2.0742
0.5523921 2.073348
0.5525763 2.074505
0.5527603999999999 2.075774
0.5529447 2.080171
0.553129 2.073574
0.5533134 2.073661
0.5534978 2.073605
0.5536823000000001 2.073091
0.5538669 2.072809
0.5540514999999999 2.07286
0.5542362000000001 2.074576
0.5544209 2.074573
0.5546057 2.072738
0.5547905999999999 2.075341
0.5549755000000001 2.072682
0.5551605 2.07217
0.5553456 2.07327
0.5555307 2.073592
0.5557159 2.074744
0.5559011 2.072104
0.5560864 2.074795
0.5562718 2.072772
0.5564572 2.072106
0.5566426999999999 2.072369
0.5568282 2.094893
0.5570138 2.074144
0.5571995000000001 2.071384
0.5573853 2.076147
0.557571 2.071466
0.5577569 2.071516
0.5579428000000001 2.072192
0.5581288 2.073097
0.5583148 2.0748
0.5585009999999999 2.072789
0.5586871000000001 2.071692
0.5588733 2.071966
0.5590596 2.071983
0.559246 2.07167
0.5594324 2.072024
0.5596188999999999 2.071877
0.5598054 2.078311
0.559992 2.070695
0.5601786999999999 2.071454
0.5603654 2.070915
0.5605522000000001 2.071061
0.5607391 2.071409
0.5609259999999999 2.070838
0.5611129 2.070493
0.5613 2.075251
0.5614871 2.075471
0.5616742 2.071834
0.5618615 2.070659
0.5620488 2.070076
0.5622361 2.070502
0.5624235 2.073426
0.562611 2.070316
0.5627985 2.070469
0.5629861 2.07397
0.5631738 2.072344
0.5633615 2.069506
0.5635493 2.069445
0.5637372 2.072139
0.5639251 2.074014
0.564113 2.069839
0.5643011 2.069808
0.5644891999999999 2.070709
0.5646773 2.069065
0.5648656000000001 2.071471
0.5650539 2.070201
0.5652422 2.069053
0.5654306 2.069204
0.5656190999999999 2.071435
0.5658076 2.06892
0.5659962000000001 2.069761
0.5661849 2.069954
0.5663736 2.06967
0.5665624 2.071076
0.5667513 2.069374
0.5669402 2.089806
0.5671292 2.102589
0.5673182 2.068051
0.5675072999999999 2.073674
0.5676964999999999 2.071279
0.5678857 2.068526
0.568075 2.069879
0.5682644 2.145012
0.5684537999999999 2.112439
0.5686433 2.067612
0.5688328 2.069607
0.5690224 2.072306
0.5692121 2.070458
0.5694019 2.115646
0.5695917 2.075899
0.5697815 2.073073
0.5699713999999999 2.068669
0.5701614 2.068251
0.5703515 2.068032
0.5705416 2.067887
0.5707318 2.070886
0.5709219999999999 2.072807
0.5711123 2.076229
0.5713026999999999 2.07723
0.5714931 2.077589
0.5716836 2.068273
0.5718742 2.067277
0.5720648 2.069075
0.5722555 2.068505
0.5724463000000001 2.067926
0.5726371 2.066909
0.572828 2.119212
0.5730189 2.068598
0.5732098999999999 2.06644
0.573401 2.069105
0.5735921 2.066601
0.5737833 2.067086
0.5739746 2.067075
0.5741659 2.07844
0.5743573 2.067353
0.5745487 2.070863
0.5747403000000001 2.083716
0.5749318 2.086812
0.5751235 2.066976
0.5753152 2.0684
0.575507 2.069065
0.5756988000000001 2.067285
0.5758907 2.068163
0.5760827000000001 2.097278
0.5762747 2.0655
0.5764668 2.067682
0.5766589 2.06798
0.5768512 2.065449
0.5770434 2.072773
0.5772358 2.067523
0.5774282 2.066609
0.5776207 2.067149
0.5778132 2.071962
0.5780058 2.069011
0.5781985 2.071937
0.5783912 2.067159
0.578584 2.065085
0.5787769 2.063958
0.5789698 2.067523
0.5791628000000001 2.066439
0.5793558 2.070392
0.579549 2.082155
0.5797422 2.063785
0.5799354 2.072783
0.5801286999999999 2.064957
0.5803221 2.064081
0.5805155 2.065259
0.580709 2.068851
0.5809026 2.080737
0.5810962000000001 2.119355
0.5812899 2.065198
0.5814837 2.085129
0.5816775 2.065316
0.5818714 2.072425
0.5820654 2.067461
0.5822594 2.074556
0.5824535000000001 2.076527
0.5826476 2.066887
0.5828419 2.076492
0.5830361000000001 2.099016
0.5832305 2.063149
0.5834249 2.07137
0.5836194 2.088173
0.5838139 2.062621
0.5840084999999999 2.063473
0.5842032 2.063288
0.5843979 2.069498
0.5845927 2.065482
0.5847876 2.072284
0.5849825 2.062992
0.5851775 2.064575
0.5853725999999999 2.061923
0.5855677 2.068574
0.5857629 2.063114
